date,GDP Var
1956-03-31,-1.555190107572457
1956-09-30,-0.358974578907123
1957-06-30,-0.8775228122850365
1957-12-31,-4.159707614832797
1958-03-31,-10.52076753187379
1960-06-30,-2.1592465838431
1960-12-31,-5.165737529728887
1969-12-31,-1.957618735130495
1970-03-31,-0.5960106701543566
1970-12-31,-4.30942346463965
1973-09-30,-2.108902897416698
1974-03-31,-3.453688192450954
1974-09-30,-3.799093949455568
1974-12-31,-1.556648105128744
1975-03-31,-4.900432919654918
1980-06-30,-8.327831932629692
1980-09-30,-0.4757017522493356
1981-06-30,-2.975341260138009
1981-12-31,-4.382305248093132
1982-03-31,-6.263360730763168
1982-09-30,-1.53199737122236
1990-12-31,-3.658296259228422
1991-03-31,-1.876155659402912
2001-03-31,-1.313348979657292
2001-09-30,-1.605775616727101
2008-03-31,-1.710710236012858
2008-09-30,-2.106569521113499
2008-12-31,-8.853365095794175
2009-03-31,-4.565452543960902
2009-06-30,-0.715242887051204
2011-03-31,-0.9499466944198787
2011-09-30,-0.0892609023139812
2014-03-31,-1.382771259864057
2020-03-31,-5.300247883186415
2020-06-30,-32.81728241610793
2022-03-31,-1.020495165181501
2025-03-31,-0.6505944225686733
