,GDP,GDP Var,consumption,investment,unemployment,inflation,fedfunds
count,285.0,285.0,285.0,285.0,285.0,285.0,285.0
mean,11171.046459649122,2.9820981756804317,7325.783154385965,1724.5973894736842,5.8019298245614035,3.1775200260501952,4.61633918128655
std,6132.245876389362,4.293595225836455,4296.58582333699,1206.1330338704404,1.6654553047770053,2.264473105218698,3.5251800653746277
min,2936.852,-32.81728241610793,1761.703,288.01,3.4,-1.595071897981271,0.06
25%,5814.854,1.363555117326598,3627.904,669.438,4.5,1.655682717427354,1.94
50%,9998.704,3.072509082001318,6353.139,1279.695,5.533333333333334,2.482212747414003,4.33
75%,16561.866,4.652841032363852,11158.801,2638.672,6.833333333333333,4.033508710233846,6.22
max,24111.83,29.9029985449792,16682.486,4547.947,13.0,11.5963452494082,17.78
